i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
165,5,0.2,1.1493939393939394,0.05714285714285714,10.32,2.8800858491501593,1.0,0.0,0.0
166,5,1.0,1.083030303030303,0.05714285714285714,14.4,4.780525023395083,1.0,0.0,0.0
167,5,0.8,2.1490909090909094,0.06666666666666667,37.6,4.213613009264497,1.0,0.0,0.0
168,5,0.4,1.0115151515151515,0.05714285714285714,14.920000000000002,3.1392538443564395,0.8,0.0,0.0
169,5,0.8,1.8884848484848482,0.05714285714285714,18.6,4.065357507368248,1.0,0.0,0.0
170,5,1.0,1.3015151515151515,0.0761904761904762,29.939999999999998,3.134223733653664,1.0,0.0,0.0
171,5,0.8,1.9212121212121211,0.08571428571428572,1.5400000000000005,2.751290623104148,1.0,0.0,0.0
172,5,1.0,2.152727272727273,0.05714285714285714,2.28,3.7340334800720503,1.0,0.0,0.0
173,5,0.8,1.7096969696969697,0.0761904761904762,14.9,3.7015499757473824,1.0,0.0,0.0
174,5,1.0,2.534545454545454,0.06666666666666667,6.360000000000001,3.645435505299173,1.0,0.0,0.0
175,5,0.8,2.767272727272727,0.08571428571428572,2.96,4.548070170739466,1.0,0.0,0.0
176,5,0.8,3.367272727272727,0.0761904761904762,27.9,7.017656100514326,1.0,0.0,0.0
177,5,1.0,1.7042424242424243,0.06666666666666667,3.7400000000000007,5.292810029089569,1.0,0.0,0.0
178,5,1.0,1.6945454545454546,0.0761904761904762,8.18,2.8458035558649297,1.0,0.0,0.0
179,5,0.8,1.3742424242424243,0.0761904761904762,7.320000000000002,3.5642325591126554,1.0,0.0,0.0
180,5,1.0,1.6887878787878787,0.0761904761904762,22.060000000000002,5.551804945709381,1.0,0.0,0.0
181,5,1.0,1.9915151515151515,0.06666666666666667,3.12,3.966511912463734,1.0,0.0,0.0
182,5,0.8,1.5163636363636364,0.08571428571428572,20.96,5.960232447977278,1.0,0.0,0.0
183,5,1.0,2.298787878787879,0.08571428571428572,11.919999999999998,4.125816325173638,1.0,0.0,0.0
184,5,0.2,1.0278787878787878,0.05714285714285714,2.820000000000001,2.7983404785253936,1.0,0.0,0.0
185,5,1.0,1.1315151515151514,0.05714285714285714,2.039999999999999,2.8183214341034684,1.0,0.0,0.0
